total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
74%,,,,,,,,,
,2024-03-22,2024-03-26,2,0,VEROMA PISOS,US$378,"9.0
Scored 9.0",Wonderful,90
,2024-03-22,2024-03-26,2,0,Chapizhome,US$583,"8.3
Scored 8.3",Very Good,558
,2024-03-22,2024-03-26,2,0,ÁTICO EXCLUSIVO EN EL CENTRO DE GRANADA,US$523,"9.5
Scored 9.5",Exceptional,103
,2024-03-22,2024-03-26,2,0,Hotel Macià Monasterio de los Basilios,US$341,"8.1
Scored 8.1",Very Good,"2,707"
,2024-03-22,2024-03-26,2,0,Vincci Albayzin,US$485,"8.5
Scored 8.5",Very Good,"5,353"
,2024-03-22,2024-03-26,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$616,"8.9
Scored 8.9",Excellent,"2,626"
,2024-03-22,2024-03-26,2,0,Porcel Alixares,US$376,"8.4
Scored 8.4",Very Good,"9,277"
,2024-03-22,2024-03-26,2,0,Gran Hotel Luna de Granada,US$453,"8.5
Scored 8.5",Very Good,"9,434"
,2024-03-22,2024-03-26,2,0,Hotel Saray,US$421,"8.4
Scored 8.4",Very Good,"9,651"
,2024-03-22,2024-03-26,2,0,Room Mate Leo,US$504,"8.8
Scored 8.8",Excellent,"4,311"
,2024-03-22,2024-03-26,2,0,Hostal Sonia Granada,US$366,"8.0
Scored 8.0",Very Good,"2,411"
,2024-03-22,2024-03-26,2,0,Porcel Navas,US$495,"8.7
Scored 8.7",Excellent,"2,144"
,2024-03-22,2024-03-26,2,0,Crisol Guadalupe,US$364,"8.5
Scored 8.5",Very Good,"4,692"
,2024-03-22,2024-03-26,2,0,Hotel Granada Center,US$489,"9.1
Scored 9.1",Wonderful,"8,498"
,2024-03-22,2024-03-26,2,0,Pension Castil,US$235,"8.4
Scored 8.4",Very Good,721
,2024-03-22,2024-03-26,2,0,Hotel Macià Plaza,US$410,"8.3
Scored 8.3",Very Good,"1,680"
,2024-03-22,2024-03-26,2,0,Eurostars Gran Via,US$610,"8.6
Scored 8.6",Excellent,"2,148"
,2024-03-22,2024-03-26,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$517,"8.6
Scored 8.6",Excellent,"4,679"
,2024-03-22,2024-03-26,2,0,Hotel Sacromonte,US$333,"8.5
Scored 8.5",Very Good,"3,121"
,2024-03-22,2024-03-26,2,0,Don Juan,US$329,"7.8
Scored 7.8",Good,"4,581"
,2024-03-22,2024-03-26,2,0,La Casa de la Trinidad,US$483,"8.7
Scored 8.7",Excellent,"2,439"
,2024-03-22,2024-03-26,2,0,Suites 18,US$566,"9.1
Scored 9.1",Wonderful,34
,2024-03-22,2024-03-26,2,0,Barceló Carmen Granada,US$540,"9.1
Scored 9.1",Wonderful,"1,170"
,2024-03-22,2024-03-26,2,0,Casual Ilbira Granada,US$427,"8.7
Scored 8.7",Excellent,399
,2024-03-22,2024-03-26,2,0,Hotel Andalucía Center,US$423,"8.8
Scored 8.8",Excellent,"7,176"
79%,,,,,,,,,
,2024-03-22,2024-03-26,2,2,Gran Hotel Luna de Granada,US$728,"8.5
Scored 8.5",Very Good,"9,434"
,2024-03-22,2024-03-26,2,2,Central Deluxe Apartments by Apolo Homes,US$831,"9.0
Scored 9.0",Wonderful,119
,2024-03-22,2024-03-26,2,2,Apartamentos Montesclaros,US$492,"8.9
Scored 8.9",Excellent,664
